# first run

===== PLAYER RANKINGS BY WINS =====
Rank | Player Name         | Wins  | Games | Win Rate
  36 | Blue Toad            | 24177 | 20000 | 17.27%
  37 | Yoshi                | 24019 | 20000 | 17.16%
  38 | Yellow Toad          | 21530 | 20000 | 15.38%
  39 | Blooper              | 21198 | 20000 | 15.14%
  40 | Baby Daisy           | 20695 | 20000 | 14.78%
  41 | Red Magikoopa        | 20312 | 20000 | 14.51%
  42 | Green Paratroopa     | 19985 | 20000 | 14.27%
  43 | Red Toad             | 19670 | 20000 | 14.05%
  44 | Green Noki           | 19643 | 20000 | 14.03%
  45 | Red Shy Guy          | 19466 | 20000 | 13.90%
  46 | Boo                  | 19327 | 20000 | 13.80%
  47 | Green Koopa Troopa   | 19325 | 20000 | 13.80%
  48 | Green Shy Guy        | 18966 | 20000 | 13.55%
  49 | Paragoomba           | 18869 | 20000 | 13.48%
  50 | Yellow Magikoopa     | 18220 | 20000 | 13.01%
  51 | Green Toad           | 18095 | 20000 | 12.93%
  52 | Red Paratroopa       | 16592 | 20000 | 11.85%
  53 | Magikoopa            | 16547 | 20000 | 11.82%
  54 | Grey Shy Guy         | 16287 | 20000 | 11.63%
  55 | Toadsworth           | 16216 | 20000 | 11.58%
  56 | Blue Shy Guy         | 15836 | 20000 | 11.31%
  57 | Baby Peach           | 15119 | 20000 | 10.80%
  58 | Monty Mole           | 14855 | 20000 | 10.61%
  59 | Yellow Shy Guy       | 14592 | 20000 | 10.42%
  60 | Yellow Yoshi         | 14063 | 20000 | 10.05%
  61 | Blue Noki            | 13702 | 20000 | 9.79%
  62 | Red Noki             | 13273 | 20000 | 9.48%
  63 | Pink Yoshi           | 13002 | 20000 | 9.29%
  64 | Dixie Kong           | 12533 | 20000 | 8.95%
  65 | Goomba               | 12373 | 20000 | 8.84%
  66 | Light Blue Yoshi     | 11899 | 20000 | 8.50%
  67 | Green Magikoopa      | 11650 | 20000 | 8.32%
  68 | Blue Yoshi           | 10837 | 20000 | 7.74%
  69 | Baby Mario           | 10760 | 20000 | 7.69%
  70 | Toadette             | 10096 | 20000 | 7.21%
  71 | Red Yoshi            |  9721 | 20000 | 6.94%
  72 | Baby Luigi           |  9592 | 20000 | 6.85%

  # third run


===== PLAYER RANKINGS BY WINS =====
Rank | Player Name         | Wins  | Games | Win Rate
-----|--------------------:|------:|------:|--------:
   1 | Bowser               | 14144 |  5000 | 40.41%
   2 | Birdo                | 14090 |  5000 | 40.26%
   3 | Donkey Kong          | 13546 |  5000 | 38.70%
   4 | Wario                | 12175 |  5000 | 34.79%
   5 | King K. Rool         | 11850 |  5000 | 33.86%
   6 | Daisy                | 11794 |  5000 | 33.70%
   7 | Mario                | 11509 |  5000 | 32.88%
   8 | Petey Piranha        | 11476 |  5000 | 32.79%
   9 | Funky Kong           | 11457 |  5000 | 32.73%
  10 | Dark Dry Bones       | 11023 |  5000 | 31.49%
  11 | Luigi                | 10712 |  5000 | 30.61%
  12 | Blue Pianta          | 10623 |  5000 | 30.35%
  13 | Bowser Jr.           | 10381 |  5000 | 29.66%
  14 | Boomerang Bro        |  9881 |  5000 | 28.23%
  15 | Dry Bones            |  9862 |  5000 | 28.18%
  16 | King Boo             |  9591 |  5000 | 27.40%
  17 | Peach                |  8991 |  5000 | 25.69%
  18 | Red Kritter          |  8951 |  5000 | 25.57%
  19 | Tiny Kong            |  8878 |  5000 | 25.37%
  20 | Waluigi              |  8667 |  5000 | 24.76%
